_id,Sl. No,Zone,District,Taluk,Name of Sub-Station,Voltage Class (in kV),Date of commission,geometry,transformer_id,name,substation_id,phase,capacity_MVA,current_load_MVA,industrial_consumption_kwh,residential_consumption_kwh,commercial_consumption_kwh,load_shedding_events,ev_charging_load_estimate,solar_potential_kw,ward_id,h3_index,lon,lat
95,95,Bengaluru,CB Pura,Gowribidanur,Dharinayakanapalya,66,31-03-2007,POINT (77.60889517350681 12.872555687270136),trf_95,Dharinayakanapalya,,3.0,0.053,0.036,303.0,446.0,208.0,1.0,42.41,1221.96,ward_95,886189241bfffff,77.60889517350681,12.872555687270136
96,96,Bengaluru,CB Pura,Shidlagatta,Dibburahally,66,18-09-1992,POINT (77.47793083034178 13.069164727385997),trf_96,Dibburahally,,3.0,0.901,0.419,1281.0,9032.0,1188.0,1.0,133.51,191.07,ward_96,88601459b5fffff,77.47793083034178,13.069164727385997
97,97,Bengaluru,Bangalore Rural,DB pura,Doddabelavangala,66,04-01-1996,POINT (77.720125417149 12.98993043718198),trf_97,Doddabelavangala,,3.0,0.591,0.193,2613.0,6362.0,615.0,0.0,4.73,1283.94,ward_97,8861892e69fffff,77.720125417149,12.98993043718198
98,98,Bengaluru,Kolar,Kolar,"Doddakari(Bethamangala)",66,21-09-2017,POINT (77.55170893731461 12.904762872383799),trf_98,"Doddakari(Bethamangala)",,3.0,0.24,0.118,856.0,1793.0,1138.0,0.0,139.03,808.64,ward_98,88618924b1fffff,77.55170893731461,12.904762872383799
99,99,Bengaluru,Ramanagar,Kanakapura,Doddalahalli,66,15-08-2015,POINT (77.66778670366108 13.069133077985773),trf_99,Doddalahalli,,3.0,0.696,0.657,536.0,2740.0,2420.0,0.0,54.83,158.84,ward_99,8861892c21fffff,77.66778670366108,13.069133077985773
100,100,Bengaluru,Bangalore Urban,Anekal,Dommasandra,66,30-04-1992,POINT (77.71612592727953 13.033962663757286),trf_100,Dommasandra,,1.0,0.2,0.089,272.0,1239.0,67.0,0.0,13.52,1600.71,ward_100,8861892f0bfffff,77.71612592727953,13.033962663757286
101,101,Bengaluru,Bangalore Urban,Bangalore South,Electronic City,66,26-07-1997,POINT (77.6426094938463 12.825241989498515),trf_101,Electronic City,,3.0,0.881,0.606,2817.0,5215.0,1408.0,2.0,111.56,1461.3,ward_1,8861892619fffff,77.6426094938463,12.825241989498515
102,102,Bengaluru,Bangalore Urban,Bangalore South,"Electronic City (SectionII Phase II)",66,15-12-2007,POINT (77.49848861422839 13.069566256558124),trf_102,"Electronic City (SectionII Phase II)",,3.0,6.061,5.565,6375.0,55822.0,5846.0,0.0,19.34,900.74,ward_2,88601459adfffff,77.49848861422839,13.069566256558124
103,103,Bengaluru,Bangalore Urban,Bangalore South,"Electronic city Sec I PhII",66,29-06-2007,POINT (77.63192871789788 12.80275911548499),trf_103,"Electronic city Sec I PhII",,3.0,0.668,0.532,3716.0,3415.0,1280.0,0.0,198.5,1854.0,ward_3,886014c921fffff,77.63192871789788,12.80275911548499
104,104,Bengaluru,Bangalore Urban,Bangalore South,Elite Promonede,66,29-07-2009,POINT (77.48044146285982 12.999050530732417),trf_104,Elite Promonede,,3.0,0.526,0.351,281.0,5153.0,322.0,2.0,7.23,606.26,ward_4,88601458e1fffff,77.48044146285982,12.999050530732417
105,105,Bengaluru,Bangalore Urban,Bangalore East,"EPIP, White field",66,08-02-2006,POINT (77.45151847515388 12.84824241542525),trf_105,"EPIP, White field",,3.0,0.097,0.088,322.0,558.0,185.0,0.0,120.12,1031.36,ward_5,88601450e5fffff,77.45151847515388,12.84824241542525
106,106,Bengaluru,Kolar,Kolar,Ganjikunte,66,27-09-2008,POINT (77.61462013680998 13.007568559307808),trf_106,Ganjikunte,,3.0,0.992,0.832,1241.0,11284.0,554.0,1.0,175.59,1736.11,ward_6,8861892eb1fffff,77.61462013680998,13.007568559307808
107,107,Bengaluru,Ramanagar,Kanakapura,Godur (Tattakere),66,27-03-2018,POINT (77.64558837785079 12.867280792838168),trf_107,Godur (Tattakere),,3.0,0.312,0.081,754.0,1423.0,1041.0,0.0,195.12,1281.94,ward_7,886189244bfffff,77.64558837785079,12.867280792838168
108,108,Bengaluru,Bangalore Urban,Bangalore North,Gokula,66,16-12-1979,POINT (77.66365376640427 12.871174726249041),trf_108,Gokula,,3.0,8.758,7.813,25594.0,74060.0,32151.0,0.0,100.51,797.33,ward_8,886189271bfffff,77.66365376640427,12.871174726249041
109,109,Bengaluru,Bangalore Urban,Bangalore South,Golf Links,66,31-03-2009,POINT (77.54761990944779 13.023947421535407),trf_109,Golf Links,,1.0,0.077,0.017,62.0,898.0,203.0,1.0,62.36,1012.28,ward_9,886014595dfffff,77.54761990944779,13.023947421535407
110,110,Bengaluru,Bangalore Rural,Nelamangala,Gudemaranahalli,66,20-01-2011,POINT (77.64488986971416 13.054767023148253),trf_110,Gudemaranahalli,,3.0,6.767,2.45,25157.0,59900.0,4938.0,0.0,156.15,919.6,ward_10,8861892c3bfffff,77.64488986971416,13.054767023148253
111,111,Bengaluru,CB Pura,Gudibande,Gudibande,66,25-08-1995,POINT (77.6472838676901 12.970492581000642),trf_111,Gudibande,,1.0,0.067,0.048,395.0,345.0,46.0,0.0,60.66,202.09,ward_11,8861892ecbfffff,77.6472838676901,12.970492581000642
112,112,Bengaluru,Bangalore Rural,DB pura,Gundamgere,66,19-12-2009,POINT (77.47810243034843 12.91031474091783),trf_112,Gundamgere,,3.0,5.585,5.292,27276.0,47679.0,8210.0,1.0,85.22,261.42,ward_12,8860145adbfffff,77.47810243034843,12.91031474091783
113,113,Bengaluru,CB Pura,Gowribidanur,Gundlu Kothur,66,28-02-2008,POINT (77.52956071030452 12.873196893013725),trf_113,Gundlu Kothur,,3.0,0.203,0.097,504.0,2121.0,715.0,1.0,83.23,962.69,ward_13,8860145141fffff,77.52956071030452,12.873196893013725
114,114,Bengaluru,Ramanagar,Kanakapura,Guruvinapura,66,20-06-2018,POINT (77.74190316642573 12.917929317400029),trf_114,Guruvinapura,,1.0,0.763,0.231,2451.0,3767.0,44.0,0.0,195.17,1603.07,ward_14,88618920c9fffff,77.74190316642573,12.917929317400029
115,115,Bengaluru,Kolar,Mulbagal,H Gollahalli,66,19-09-2007,POINT (77.71761396655313 12.98934158779918),trf_115,H Gollahalli,,3.0,0.119,0.073,324.0,1261.0,56.0,0.0,30.01,649.35,ward_15,8861892e69fffff,77.71761396655313,12.98934158779918
116,116,Bengaluru,Bangalore Urban,Bangalore East,H.A.L.,66,01-01-1967,POINT (77.68844339106249 12.950791127931558),trf_116,H.A.L.,,3.0,0.382,0.189,1053.0,3845.0,1636.0,2.0,137.63,875.21,ward_16,886189256dfffff,77.68844339106249,12.950791127931558
117,117,Bengaluru,Ramanagar,Kanakapura,Hanumanthanagar,66,26-02-2010,POINT (77.62307116538791 12.94775530814566),trf_117,Hanumanthanagar,,3.0,0.048,0.042,133.0,419.0,152.0,1.0,122.79,133.3,ward_17,88618925e1fffff,77.62307116538791,12.94775530814566
118,118,Bengaluru,Ramanagar,Kanakapura,Harobele,66,16-09-1994,POINT (77.50857289633942 13.01673563457845),trf_118,Harobele,,3.0,7.637,4.461,31169.0,25775.0,3108.0,1.0,14.25,24.22,ward_18,8860145823fffff,77.50857289633942,13.01673563457845
119,119,Bengaluru,Bangalore Urban,Bangalore East,HBR Layout,66,31-01-2007,POINT (77.53423170873226 12.807294789929436),trf_119,HBR Layout,,3.0,0.36,0.152,755.0,3590.0,1143.0,0.0,34.82,196.79,ward_19,886014535bfffff,77.53423170873226,12.807294789929436
120,120,Bengaluru,Bangalore Urban,Bangalore North,Hebbal,66,22-06-1996,POINT (77.64364168877215 12.853133203822114),trf_120,Hebbal,,3.0,0.272,0.059,134.0,3185.0,386.0,1.0,76.39,411.37,ward_20,8861892631fffff,77.64364168877215,12.853133203822114
121,121,Bengaluru,Ramanagar,Ramanagara,Hejjala,66,04-11-2014,POINT (77.73213757530587 13.086178573100776),trf_121,Hejjala,,1.0,0.777,0.531,2472.0,2624.0,3612.0,1.0,195.99,1203.76,ward_21,8861892891fffff,77.73213757530587,13.086178573100776
122,122,Bengaluru,Bangalore Urban,Bangalore East,Hennur Road,66,15-03-2016,POINT (77.72445931706613 12.911047610076634),trf_122,Hennur Road,,3.0,0.814,0.564,626.0,4920.0,3626.0,0.0,74.43,864.15,ward_22,88618922b7fffff,77.72445931706613,12.911047610076634
123,123,Bengaluru,Ramanagar,Kanakapura,Honniganahally,66,17-08-2015,POINT (77.45463698495867 13.078495568776317),trf_123,Honniganahally,,3.0,0.944,0.359,688.0,4510.0,4019.0,1.0,163.19,1722.74,ward_23,8860144b51fffff,77.45463698495867,13.078495568776317
124,124,Bengaluru,Bangalore Urban,Bangalore East,Hoody.,66,15-01-1979,POINT (77.5784552444952 13.089996445713101),trf_124,Hoody.,,3.0,0.26,0.199,718.0,2750.0,909.0,1.0,35.49,1090.05,ward_24,8860169609fffff,77.5784552444952,13.089996445713101
125,125,Bengaluru,Ramanagar,Magadi,"Hosapalya circle(Shivanasandra)",66,29-08-2018,POINT (77.73908599312678 13.055902836640207),trf_125,"Hosapalya circle(Shivanasandra)",,3.0,0.053,0.017,42.0,505.0,208.0,0.0,101.17,1681.41,ward_25,8861892f67fffff,77.73908599312678,13.055902836640207
126,126,Bengaluru,Bangalore Rural,Hosakote,Hoskote,66,01-09-1964,POINT (77.53833466762087 12.915529318580578),trf_126,Hoskote,,3.0,0.594,0.345,1060.0,4803.0,1964.0,1.0,152.22,320.14,ward_26,8860145a51fffff,77.53833466762087,12.915529318580578
127,127,Bengaluru,CB Pura,Gowribidanur,Hosur(Ramapura),66,10-03-2003,POINT (77.70534100145505 12.895076601546883),trf_127,Hosur(Ramapura),,3.0,3.22,2.398,19162.0,12534.0,6205.0,1.0,111.02,1466.14,ward_27,8861892763fffff,77.70534100145505,12.895076601546883
128,128,Bengaluru,Bangalore Urban,Bangalore South,HSR  Layout,66,26-01-1998,POINT (77.50084782400583 12.967040378737504),trf_128,HSR  Layout,,3.0,4.198,3.307,13960.0,12792.0,15334.0,0.0,149.15,404.96,ward_28,8860145853fffff,77.50084782400583,12.967040378737504
129,129,Bengaluru,Bengaluru Urban,Anekal,Hulimangala*,66,30-01-2019,POINT (77.73084643224823 13.008808939002492),trf_129,Hulimangala*,,3.0,0.334,0.104,612.0,3637.0,1597.0,0.0,89.72,1444.14,ward_29,88618921b1fffff,77.73084643224823,13.008808939002492
130,130,Bengaluru,Ramanagar,Magadi,Hullenahalli (Ellapura),66,31-12-2008,POINT (77.6210183510268 12.829152948131231),trf_130,Hullenahalli (Ellapura),,3.0,0.398,0.203,1661.0,1206.0,1184.0,0.0,158.84,185.98,ward_30,88618926c5fffff,77.6210183510268,12.829152948131231
131,131,Bengaluru,Ramanagar,Kanakapura,Hunasenahalli,66,21-06-2010,POINT (77.63450216800975 13.097016155031278),trf_131,Hunasenahalli,,3.0,0.646,0.161,2248.0,5202.0,1738.0,0.0,135.29,1609.98,ward_31,8861892d81fffff,77.63450216800975,13.097016155031278
132,132,Bengaluru,Kolar,Kolar,Huttur(Kembodi),66,05-12-2007,POINT (77.49202520457096 12.955498895709121),trf_132,Huttur(Kembodi),,3.0,0.503,0.13,177.0,3022.0,1895.0,1.0,103.45,880.4,ward_32,8860145aa9fffff,77.49202520457096,12.955498895709121
133,133,Bengaluru,Ramanagar,Kanakapura,I.Gollahalli (Hukunda),66,17-08-2015,POINT (77.71321192157839 13.02223058532626),trf_133,I.Gollahalli (Hukunda),,1.0,0.44,0.117,582.0,3689.0,1554.0,2.0,84.25,1272.35,ward_33,8861892f53fffff,77.71321192157839,13.02223058532626
134,134,Bengaluru,Bangalore Urban,Bangalore East,I.T.I.,66,26-05-1971,POINT (77.65910472229858 13.010745225196132),trf_134,I.T.I.,,3.0,4.689,3.891,10799.0,38201.0,13229.0,0.0,72.45,669.02,ward_34,8861892ee5fffff,77.65910472229858,13.010745225196132
135,135,Bengaluru,Ramanagar,Channapatna,Iggalur,66,18-04-1998,POINT (77.55784734536593 12.888077553279349),trf_135,Iggalur,,1.0,8.485,3.435,26375.0,48267.0,38312.0,0.0,85.93,1745.46,ward_35,8861892495fffff,77.55784734536593,12.888077553279349
136,136,Bengaluru,CB Pura,Chintamani,Irgampalli,66,30-07-1983,POINT (77.69280834664356 13.043034018403754),trf_136,Irgampalli,,3.0,8.224,4.471,23832.0,34552.0,3182.0,1.0,87.37,1459.02,ward_36,8861892f17fffff,77.69280834664356,13.043034018403754
137,137,Bengaluru,Bangalore Urban,Bangalore South,ISKCON,66,14-07-2016,POINT (77.71012169557403 13.073972165766941),trf_137,ISKCON,,3.0,6.492,1.957,29268.0,57861.0,29810.0,0.0,11.41,564.37,ward_37,8861892d49fffff,77.71012169557403,13.073972165766941
138,138,Bengaluru,Bangalore Urban,Bangalore South,ISRO Layout(South),66,01-01-2007,POINT (77.60340271965828 12.95045488840616),trf_138,ISRO Layout(South),,3.0,0.907,0.351,1480.0,8920.0,1958.0,1.0,97.51,67.23,ward_38,8861892585fffff,77.60340271965828,12.95045488840616
139,139,Bengaluru,Kolar,Malur,Jadigenahalli,66,13-03-2009,POINT (77.68948855369003 12.994989179233329),trf_139,Jadigenahalli,,1.0,0.148,0.089,365.0,907.0,639.0,0.0,132.76,1926.79,ward_39,8861892e01fffff,77.68948855369003,12.994989179233329
140,140,Bengaluru,Ramanagar,Ramanagara,Jalamangala,66,10-02-2009,POINT (77.66059006317731 13.03873780083083),trf_140,Jalamangala,,3.0,0.062,0.032,97.0,594.0,292.0,0.0,130.83,396.2,ward_40,8861892c0bfffff,77.66059006317731,13.03873780083083
141,141,Bengaluru,CB Pura,Shidlagatta,Jangamkote,66,03-03-2017,POINT (77.71700160254527 12.90139854705546),trf_141,Jangamkote,,3.0,0.972,0.638,2038.0,3914.0,706.0,0.0,50.19,1701.23,ward_41,8861892765fffff,77.71700160254527,12.90139854705546
142,142,Bengaluru,Bangalore Urban,Bangalore South,Jayadeva,66,24-07-1996,POINT (77.56267488579198 12.82819458195226),trf_142,Jayadeva,,3.0,0.124,0.105,538.0,448.0,421.0,0.0,16.35,916.6,ward_42,8860145345fffff,77.56267488579198,12.82819458195226
143,143,Bengaluru,Bangalore Urban,Bangalore South,Jayanagar (GIS),66,13-11-2013,POINT (77.62348404229886 12.810782682139024),trf_143,Jayanagar (GIS),,3.0,9.511,7.965,38178.0,68105.0,18798.0,1.0,12.45,1025.01,ward_43,88618926c9fffff,77.62348404229886,12.810782682139024
144,144,Bengaluru,Bangalore Urban,Anekal,Jigani,66,14-08-1990,POINT (77.58967940543974 12.962793390412273),trf_144,Jigani,,3.0,0.061,0.048,74.0,325.0,48.0,0.0,151.35,1038.77,ward_44,88618925b5fffff,77.58967940543974,12.962793390412273
145,145,Bengaluru,Bangalore Urban,Anekal,"Jigani linkroad(Bommasandra)",66,28-02-2013,POINT (77.53596237563849 12.977249978170704),trf_145,"Jigani linkroad(Bommasandra)",,3.0,0.881,0.751,1262.0,6221.0,4165.0,1.0,13.04,927.86,ward_45,886014584dfffff,77.53596237563849,12.977249978170704
146,146,Bengaluru,CB Pura,Bagepalli,Julupalya,66,02-06-2009,POINT (77.45915007498172 12.811204456624765),trf_146,Julupalya,,3.0,0.503,0.14,1982.0,5231.0,918.0,2.0,104.67,574.28,ward_46,88601452a5fffff,77.45915007498172,12.811204456624765
147,147,Bengaluru,Bangalore Urban,Bangalore East,K & C Valley,66,10-12-1999,POINT (77.6967801681979 12.90805719242338),trf_147,K & C Valley,,3.0,0.638,0.509,1516.0,7168.0,1632.0,0.0,139.18,1586.52,ward_47,8861892721fffff,77.6967801681979,12.90805719242338
148,148,Bengaluru,Bangalore Urban,Bangalore East,"Kachamaranahalli(Varthur Road)",66,29-03-2014,POINT (77.48811815379557 12.956672978016442),trf_148,"Kachamaranahalli(Varthur Road)",,3.0,0.907,0.37,5352.0,3870.0,879.0,0.0,178.8,1308.59,ward_48,8860145aabfffff,77.48811815379557,12.956672978016442
149,149,Bengaluru,Bangalore Urban,Bangalore East,Kadabisanahalli,66,30-04-2007,POINT (77.68099806592959 12.864746308249053),trf_149,Kadabisanahalli,,1.0,0.619,0.163,3277.0,6334.0,1501.0,1.0,196.82,1335.84,ward_49,8861892753fffff,77.68099806592959,12.864746308249053
150,150,Bengaluru,Bangalore Urban,Bangalore East,Kadugodi,66,04-01-1997,POINT (77.6368671427457 12.825604239498132),trf_150,Kadugodi,,3.0,8.937,4.653,8699.0,27825.0,24012.0,0.0,143.87,1780.52,ward_50,8861892611fffff,77.6368671427457,12.825604239498132
151,151,Bengaluru,Kolar,Bangarpet,Kamasamudra,66,,POINT (77.46550451635059 12.959406389470445),trf_151,Kamasamudra,,1.0,0.196,0.165,963.0,1542.0,668.0,0.0,94.23,1643.27,ward_51,8860145ab1fffff,77.46550451635059,12.959406389470445
152,152,Bengaluru,Ramanagar,Kanakapura,Kanakapura,66,05-04-2003,POINT (77.61219053648303 12.991228970449463),trf_152,Kanakapura,,3.0,0.499,0.41,1004.0,2277.0,1705.0,1.0,47.97,283.94,ward_52,8861892e95fffff,77.61219053648303,12.991228970449463
153,153,Bengaluru,Bangalore Rural,DB pura,"Kanasawadi(Madhurai)",66,28-06-2007,POINT (77.6678274001168 13.09275562383876),trf_153,"Kanasawadi(Madhurai)",,3.0,0.751,0.517,2798.0,4635.0,3033.0,0.0,195.82,1268.28,ward_53,8861892d13fffff,77.6678274001168,13.09275562383876
154,154,Bengaluru,Bangalore Urban,Bangalore North,"Kanteerava_Stadium(GIS)",66,10-01-2014,POINT (77.60489010449037 12.896886941882373),trf_154,"Kanteerava_Stadium(GIS)",,1.0,0.332,0.237,139.0,1519.0,1364.0,0.0,167.41,558.55,ward_54,88618924edfffff,77.60489010449037,12.896886941882373
155,155,Bengaluru,Ramanagar,Ramanagara,"Kavanapura(Shivanahalli)",66,25-02-2010,POINT (77.68855585843062 12.881249675378623),trf_155,"Kavanapura(Shivanahalli)",,3.0,0.518,0.222,661.0,1709.0,756.0,2.0,153.21,1576.89,ward_55,886189270bfffff,77.68855585843062,12.881249675378623
156,156,Bengaluru,Ramanagar,Ramanagara,Kempanahalli (Bng),66,30-06-2008,POINT (77.58169142621169 12.82353691440268),trf_156,Kempanahalli (Bng),,3.0,0.908,0.638,3053.0,3631.0,1948.0,0.0,172.91,1093.3,ward_56,8861892699fffff,77.58169142621169,12.82353691440268
157,157,Bengaluru,Bangalore Urban,Bangalore North,Kengeri Satellite Town,66,17-04-2010,POINT (77.45760522302464 13.088794524403378),trf_157,Kengeri Satellite Town,,3.0,0.12,0.062,30.0,1159.0,529.0,0.0,171.67,584.44,ward_57,8860144b09fffff,77.45760522302464,13.088794524403378
158,158,Bengaluru,Kolar,Bangarpet,KGF,66,02-10-1969,POINT (77.70079403615367 13.008792261828109),trf_158,KGF,,3.0,0.807,0.172,4662.0,7699.0,1180.0,1.0,174.55,225.16,ward_58,8861892e29fffff,77.70079403615367,13.008792261828109
159,159,Bengaluru,Bangalore Urban,Bangalore North,KHB Colony,66,30-12-2002,POINT (77.57268588332428 12.851988296021254),trf_159,KHB Colony,,3.0,0.106,0.04,8.0,765.0,153.0,0.0,59.45,599.84,ward_59,88618926b3fffff,77.57268588332428,12.851988296021254
160,160,Bengaluru,Bangalore Urban,Bangalore South,Khoday's Glass Factory,66,25-05-2005,POINT (77.49693111280133 12.87507286944938),trf_160,Khoday's Glass Factory,,3.0,19.147,16.795,97910.0,172519.0,54520.0,1.0,15.79,479.02,ward_60,8860145119fffff,77.49693111280133,12.87507286944938
161,161,Bengaluru,Bangalore Urban,Bangalore North,Kodigehalli,66,17-01-2015,POINT (77.61476799941184 13.014378776810018),trf_161,Kodigehalli,,3.0,6.245,5.911,32063.0,48043.0,1908.0,1.0,22.99,187.71,ward_61,8861892eb7fffff,77.61476799941184,13.014378776810018
162,162,Bengaluru,CB Pura,Chintamani,Kodihalli,66,29-12-2006,POINT (77.64805921301532 12.883980169083783),trf_162,Kodihalli,,3.0,0.831,0.714,2851.0,6363.0,1717.0,0.0,86.92,1547.76,ward_62,886189246bfffff,77.64805921301532,12.883980169083783
163,163,Bengaluru,Ramanagar,Kanakapura,Kodihalli,66,02-03-2005,POINT (77.73645958419895 13.02136907500873),trf_163,Kodihalli,,3.0,0.449,0.294,1701.0,3738.0,1514.0,0.0,102.47,208.45,ward_63,8861892f4bfffff,77.73645958419895,13.02136907500873
164,164,Bengaluru,Kolar,Kolar,Kolar,66,21-08-2009,POINT (77.61630621575343 12.983516223870305),trf_164,Kolar,,3.0,0.656,0.599,2364.0,6358.0,1594.0,1.0,50.88,723.71,ward_64,8861892e9dfffff,77.61630621575343,12.983516223870305
165,165,Bengaluru,Bangalore Rural,Hosakote,Konadasapura,66,10-10-2012,POINT (77.57588001872834 12.874319296850347),trf_165,Konadasapura,,3.0,2.26,0.921,13174.0,13520.0,5229.0,0.0,122.16,561.37,ward_65,88618924d5fffff,77.57588001872834,12.874319296850347
166,166,Bengaluru,Bangalore Urban,Bangalore South,Koramangala,66,12-04-1996,POINT (77.55679180359537 13.02735383313931),trf_166,Koramangala,,3.0,0.015,0.003,20.0,50.0,8.0,0.0,160.52,1144.1,ward_66,886014594bfffff,77.55679180359537,13.02735383313931
167,167,Bengaluru,Ramanagar,Magadi,Kudur,66,23-09-1998,POINT (77.45431804658892 12.834821792152075),trf_167,Kudur,,3.0,0.932,0.464,487.0,7972.0,509.0,0.0,101.48,1748.45,ward_67,8860145017fffff,77.45431804658892,12.834821792152075
168,168,Bengaluru,Ramanagar,Ramanagara,Kumbalagodu,66,03-03-1994,POINT (77.46380079260653 12.812218640695692),trf_168,Kumbalagodu,,3.0,0.993,0.297,1637.0,6505.0,2011.0,0.0,181.52,1428.07,ward_68,88601452a5fffff,77.46380079260653,12.812218640695692
169,169,Bengaluru,Bangalore Rural,Devanahalli,Kundana,66,04-03-2013,POINT (77.70663817520331 13.011097357814007),trf_169,Kundana,,3.0,0.826,0.757,4070.0,2490.0,2523.0,0.0,51.52,119.05,ward_69,8861892e67fffff,77.70663817520331,13.011097357814007
170,170,Bengaluru,Ramanagar,Ramanagara,Kutagallu,66,14-10-2009,POINT (77.5922521487262 12.8293502481953),trf_170,Kutagallu,,3.0,0.123,0.06,337.0,778.0,71.0,0.0,150.24,142.02,ward_70,886189268bfffff,77.5922521487262,12.8293502481953
171,171,Bengaluru,Kolar,Kolar,Kyalanur,66,27-09-2007,POINT (77.59748476253505 12.94204153123417),trf_171,Kyalanur,,1.0,0.942,0.661,3836.0,5894.0,2684.0,0.0,127.22,1826.57,ward_71,8861892583fffff,77.59748476253505,12.94204153123417
172,172,Bengaluru,Kolar,Bangarpet,Kyasamballi,66,30-03-1996,POINT (77.501960560973 12.930155494771393),trf_172,Kyasamballi,,3.0,0.727,0.211,3937.0,2616.0,1863.0,0.0,2.34,844.07,ward_72,8860145ac1fffff,77.501960560973,12.930155494771393
173,173,Bengaluru,Bangalore Urban,Bangalore North,L R bande,66,26-07-2003,POINT (77.56955142031921 12.984755029415664),trf_173,L R bande,,3.0,0.581,0.135,429.0,4664.0,957.0,1.0,169.12,1384.99,ward_73,8860145b0bfffff,77.56955142031921,12.984755029415664
174,174,Bengaluru,Kolar,Malur,Lakkur,66,30-05-1995,POINT (77.6405280952603 12.813591202931613),trf_174,Lakkur,,3.0,0.283,0.122,1340.0,1986.0,1085.0,3.0,63.77,1164.4,ward_74,886014c925fffff,77.6405280952603,12.813591202931613
175,175,Bengaluru,Kolar,Srinivaspur,Lakshmipura,66,29-09-1996,POINT (77.56238378438795 12.98775797471427),trf_175,Lakshmipura,,3.0,0.709,0.508,1593.0,3192.0,1465.0,0.0,178.02,691.75,ward_75,8860145b1dfffff,77.56238378438795,12.98775797471427
176,176,Bengaluru,Bangalore Urban,Bangalore East,Leela Venture (Kodihalli),66,15-06-2001,POINT (77.60094087757403 13.056946952356496),trf_176,Leela Venture (Kodihalli),,1.0,6.812,4.616,13921.0,24833.0,13394.0,0.0,135.42,1211.56,ward_76,8861892c87fffff,77.60094087757403,13.056946952356496
177,177,Bengaluru,Ramanagar,Magadi,Magadi,66,10-03-1985,POINT (77.64760808948569 12.84888032812443),trf_177,Magadi,,3.0,0.988,0.534,4080.0,4214.0,2303.0,0.0,101.09,1928.03,ward_77,886189263dfffff,77.64760808948569,12.84888032812443
178,178,Bengaluru,Bangalore Urban,Bangalore North,Mahalakshmi Layout,66,16-03-2009,POINT (77.47117062422014 12.992725783461895),trf_178,Mahalakshmi Layout,,3.0,1.279,0.628,1228.0,4106.0,4643.0,0.0,57.85,1800.17,ward_78,88601458ebfffff,77.47117062422014,12.992725783461895
179,179,Bengaluru,Kolar,Mulbagal,Mallanayakanahalli,66,01-04-2017,POINT (77.45795339316248 12.975732674382039),trf_179,Mallanayakanahalli,,1.0,0.321,0.278,1161.0,3351.0,1516.0,0.0,192.23,778.96,ward_79,88601458d5fffff,77.45795339316248,12.975732674382039
180,180,Bengaluru,Kolar,Srinivaspur,Mallasandra,66,09-01-2008,POINT (77.73206907242749 12.972642253362764),trf_180,Mallasandra,,3.0,0.546,0.172,1814.0,4300.0,1997.0,1.0,60.47,518.67,ward_80,88618920a5fffff,77.73206907242749,12.972642253362764
181,181,Bengaluru,Kolar,Malur,Malur,66,18-07-1979,POINT (77.56645097786196 12.992986465532706),trf_181,Malur,,1.0,4.082,1.644,23669.0,32735.0,6804.0,0.0,27.84,888.09,ward_81,8860145b03fffff,77.56645097786196,12.992986465532706
182,182,Bengaluru,Kolar,Malur,Malur IA,66,30-10-2006,POINT (77.58747586714746 12.96368503679478),trf_182,Malur IA,,3.0,0.408,0.386,2155.0,3513.0,1115.0,1.0,79.03,78.92,ward_82,88618925b5fffff,77.58747586714746,12.96368503679478
183,183,Bengaluru,CB Pura,Gowribidanur,Manchenahalli,66,26-02-2003,POINT (77.73243944263295 12.915830791340232),trf_183,Manchenahalli,,3.0,0.235,0.217,1282.0,2232.0,602.0,1.0,158.1,249.64,ward_83,88618920cbfffff,77.73243944263295,12.915830791340232
184,184,Bengaluru,CB Pura,CB Pura,Mandikal,66,30-01-2016,POINT (77.73835716914718 13.07160519258682),trf_184,Mandikal,,3.0,0.878,0.797,784.0,6290.0,4134.0,0.0,172.71,1177.46,ward_84,88618928d3fffff,77.73835716914718,13.07160519258682
185,185,Bengaluru,Bangalore Urban,Bangalore South,Manyata Tech Park,66,25-05-2006,POINT (77.5087373404368 12.82080839026255),trf_185,Manyata Tech Park,,3.0,0.211,0.163,489.0,1604.0,499.0,0.0,173.12,1961.48,ward_85,886014504dfffff,77.5087373404368,12.82080839026255
186,186,Bengaluru,Ramanagar,Kanakapura,Maralawadi,66,05-09-1998,POINT (77.48023340041323 12.805466547695465),trf_186,Maralawadi,,3.0,0.767,0.483,4400.0,3685.0,402.0,1.0,169.39,1786.18,ward_86,8860145059fffff,77.48023340041323,12.805466547695465
187,187,Bengaluru,Kolar,Malur,Masti,66,16-09-1987,POINT (77.47833288822679 13.004902032024907),trf_187,Masti,,1.0,0.454,0.265,1707.0,5147.0,42.0,0.0,137.54,1445.41,ward_87,88601458e1fffff,77.47833288822679,13.004902032024907
188,188,Bengaluru,Bangalore Urban,Bangalore North,Mathikere,66,27-09-2004,POINT (77.47135659453807 12.89569268908813),trf_188,Mathikere,,3.0,3.695,1.733,17834.0,20355.0,3737.0,1.0,199.56,1353.64,ward_88,88601451e1fffff,77.47135659453807,12.89569268908813
189,189,Bengaluru,Ramanagar,Magadi,Mattikere (Hellegalli),66,12-01-2018,POINT (77.70346259329084 12.806981580720748),trf_189,Mattikere (Hellegalli),,3.0,0.024,0.018,120.0,232.0,16.0,1.0,131.71,1532.23,ward_89,88618934adfffff,77.70346259329084,12.806981580720748
